name,ProductDescription,id
"Core 2 Client, LLC",Core 2 Client is an Electrical Storage Consultant and a FULL-SERVICE ROBOTIC PROCESS AUTOMATION INTEGRATOR.  From quotation to cereal life of a program C2C provides operational RPA and Data management services.  Full-Service Commodity Manager targeting best products and Services for our valued EV customers.  We are an innovator and look for new solutions that impact the customers operations and finance.  www.core2client.com    ,4322
Corena H Communications LLC,"Corena H Communications markets, brands, advertises, creates, organizes, facilitates  and consults strategic plans, projects and campaigns of companies' ad hoc projects thru multi-media platforms and promotional events to streamline the process and responsibilities by delivering successful events.",14134
Corporate 52 Marketing Group,"Corporate 52 Marketing Group is an award winning, woman owned full-service promotional marketing and branding company that provides an extensive range of promotional marketing options to increase your corporate brand awareness. They provide creative and cost-effective strategies to enhance marketing and promotions to their current clients, while helping customers plan future campaigns to target potential and ideal clients. Corporate 52 services include: branding skills that help your company establish a momentous and distinguished presence in the market, creation and distribution of highly valued and much sought-after promotional items i.e. giveaway bags, commercial printing services to create, communicate and convey your business message, graphic design services that can design everything from logos to your own website, well thought out corporate gifts for both employees & customers, and start to finish idea consulting to bring your vision to reality.",13302
Corporate Cars LLC.,"Corporate Cars is a luxury car service transporting passengers to and from the airport, train station, meetings and other events. ",13351
Corporate Production Services,"We are a turn key corporate meeting and event management planning agency. We provide consulting and management services. We have an inventory of audio visual equipment that we are able to use on the programs we manage. We provide management services for conferences, award ceremonies, press conferences, product launches, as well as employee and customer appreciation programs. ",13526
Corporate Roofing Company,Roofing and sheet Metal Contractor,13775
"Cortar Laser and Fab, LLC",Supplier of precision laser cut blanks and formed sheet metal parts.,13704
"Costello Enterprises, LLC.","DIMENSIONAL INSPECTION, FIXTURE BUILD, SPECIAL MACHINES",4119
"COSTELLO MACHINE, LLC.","PRECISION CNC MACHINING, BORING MILL WORK, ASSEMBLIES",4075
"Crazy Jam Life, LLC","Sticky Spoons is a veteran-owned business making jams and preserves, using fruits sourced from local family-owned farms. We provide our customers with authentic flavors that are free of preservatives, artificial flavors and high fructose corn syrup. We focus on creating products like apricot rosemary, bumbleberry, strawberry lemonade and blueberry lavender, that surprise and delight the taste buds.",13473
"Creative Financial Solutions, Inc.","Accounting And Financial Consulting, Personal Financial Planning, Corporate Employee Benefit Plans, Including 401k, Pension Plans, Profit Sharing Plans, Group Health, Dental And Life Insurance, Personal And Corporate Insurance, Private Equity Services, Investment Banking.",4328
"Creative Minds Consulting, LLC","Creative Minds Consulting, LLC  a.k.a. (CMC), offers personalized services to meet the needs of our business clients.  We deliver various aspects of human resource management including, but not limited to, recruitment management, policy development, and structured mentoring programs. ",13559
"Crest Performance Group, LLC.",Mechanical contracting and consulting services.,4165
Crow Titan LLC,Distributor for the government. Source and Supplier. ,14107
"Crown Talent Assets, LLC","Crown Talent Assets provides:
Executive Search and Professional Placement Practices: Retained searches are conducted for high-level management positions in various industries across the country and for various executive functions within an organization.  In addition to retained search, we provide access to professional talent assessment tools and resources to determine executive-level fitness for C-suite placements, including executive coaching and development.  
Management Consulting Practice: The Consulting division includes consultative service offerings for organizations seeking to find solutions for their Human Resources, Talent Acquisition, and Recruiting functions.  Crown Talent Assets can provide consultative services to determine the best strategies and business practices for this mission-critical aspect of any organization.
Diversity Consulting Practice: as part of the Consulting offering, our focus in talent acquisition is on hiring from diverse business populations, we can assist companies in developing effective diversity plans in their Talent Acquisition departments and succession planning in particular.",4309
"Crystal Bright Janitorial Services, Inc.","Provide commercial Janitorial cleaning and sanitizing services. Industries: Medical, commercial, government, education, manufacturing cleaning and sanitizing and more... Services: Daily and nightly cleaning and sanitizing, day porter,  Stripping and Waxing, Carpet Shampoo, Ceramic and Grout Cleaning, Upholstery Cleaning, Window Washing, post and pre Construction Cleaning, supply delivery and management, mat/runner services, outside debris and trash removal, parking lot care,  ",3640
"CRYSTAL ENGINEERING SOLUTIONS, INC","HARDWIRE DESIGN, SOFTWARE DESIGN, SYSTEM INTEGRATION, PRODUCT RESEARCH, PRODUCT DEVELOPMENT, CONTRACT SERVICES",4029
CST2000 LLC,"CST2000 dba i-CST is an Information Technology Consulting Services and Staffing firm doing business with Retail clients like Publix and Government clients like State of Maine.  Have consultants with computer  Software technical skills like Java, .NET,  Salesforce, SAP etc. ",13408
"CTA Digital Marketing, LLC","Customer services management consulting services, New product development consulting services, Marketing management consulting services, Sales management consulting services, Internet book publishers, Internet sports sites, Internet entertainment sites
Internet video broadcast sites, Internet news publishers, Internet radio stations, Internet search portals, Web Development and Apps Development, Application hosting, Web hosting, Web search portals, Internet search Web sites, Internet social networking sites",4507
Culinary Associates INC,Off site full catering service specializing in corporate style catering,4310
"CUPS-N-CAKES, LLC","Cup-n-Cakes is an experience; we provide ""Do-it-yourself"" cake decorating classes in a brick-n-mortar studio. A class where patrons can become experts in cake decorating. ",13501
"CURTIS INDUSTRIAL SERVICES, INC.","PAINT STRIPPING, PART SEQUENCING, DUNNAGE WASHING, REPAIRING,LOGISTICS, WAREHOUSING",13778
"Custodial House Keeping Staffing, Inc.","Janitorial Services: Commercial cleaning   Carpet cleaner residential/commercial, restoration services Flood Water Recovery Construction clean up, Power Washing, Vehicle Fleet Washing, window washing, Janitorial Labor Lease Staffing and Restroom Sanitize Decontamination Power Cleaning",13795
"Cutting Edge Production & Editorial, Inc",Editorial Company,14185
"CYBOC - Cyber Operations Capabilities, LLC",CYBOC is a Cyber Risk Management and Compliance Practice providing comprehensive data / network asset protection by deploying military grade solution sets based on assessment analysis.,13356
"CYJ Enterprises, LLC.","CYJ Enterprises, LLC provides IT Consulting services and creates softwate for health care providers, non-medical service providers, patients, and other care team members to collaberate and exchange relevant information to promote optimal health outcomes.",14194
"D Squared Facilities Management, Inc.",Janitorial Services,4252
"D. Garcia Construction, LLC","GENERAL CONTRACTOR: INSTALLATION OF NEW WATERMAIN SERVICE, SELF PERFORM INDUSTRIAL COMMERCIAL CONCRETE, RELATED EXCAVATION",13833
D2U Electronics LLC,"We wholesale Construction electrical materials, and merchant wholesale electrical products.
We wholesale L.E.D's and a multitude of consumer and commercial electrical products. 
We retail some products online as well. ",4478
DAE Controls LLC,"We are specialized in Water Meters, kWh meters and Cloud Metering Solutions for water, electricity and centralized AC / heater. ",4490
"Dakkota Integrated Systems, LLC.","Dakkota Integrated Systems, LLC manages the complete assembly and sequencing of modules for OEMs and Tier One suppliers. Dakkota also offers full service integration and supplier management. Dakkota is a total solution provider that manages complexity for automotive and other industries, utilizing strong IT systems, Tier 1 engineering capabilities, supply base management from raw material sourcing to directed buy management and comprehensive logistics expertise. Our proven experience in efficient assembly and sequencing for a wide variety of complex automotive modules, coupled with our superior error proofing techniques, has resulted in a consistently dependable single stream delivery of quality product to our OEM and Tier 1 customers.",4098
Dako Resources LLC,"DAKO Resources LLC is a fully owned subsidiary of Artech L.L.C. Artech provides Workforce Solution (managed services, contingent labor, staff augmentation), IT Consulting, Outsourced Project, Payrolling Services, and Statement of Work Services. 

DAKO's parent company Artech is certified by the NMSDC, WBENC and CPUC. Artech is the #1 Largest Women-Owned IT staffing company in the U.S. supporting a variety of commercial and government clients, including over 100 Fortune 500 and Global 500 clients across the US, India, China, and Canada.",13464
"Dalany Metal Products, Inc","Screw Machine and CNC Machining.  Also provides secondary production machining for cold headed, screw machined and formed rod products. This includes facing, chamfering, end drill and tap, grooving, pointing, heavy turning single point shaving and cross drilling.
",4116
Damus Dynamic LLC,"We provide learning and development through training, coaching, keynote speaking, and consulting. Our programs help develop skills, shift behaviors, and improve company culture in the areas of leadership, professional development, personal development, employee performance, business growth, marketing, management, human resources, sales, customer service, and workplace diversity.

",13400
"DANAS Technology, LLC","DANAS Technology is a VAR that provides commercial-off-the-shelf (COTS), custom, rugged and semi-rugged computer solutions and professional services to the government, public sector, and commercial markets. 

Our team of engineers, product managers, and technicians collaborate with the ?best-in-class? computer OEM manufacturers to ensure that your solutions will be available throughout the lifecycle of your project. Our high-quality products and services are delivered on time and within budget.

",4401
Dark Horse International LLC,"Our business focuses on supporting mission-driven people who are making the world a better place by removing major issues in the industry. We operate with morals and ethics in all the services that we provide by performing work that consciously, systemically, and sustainably serves a dire need. Armed with the attributes of Safety awareness as an essential daily focus and not an advertised feature, a commercial to our program.
  
We offer construction management services with a depth of experience few can match, and we pride ourselves on providing innovative scheduling practices, planning practices, and detailed client-based reporting, all supported by dedicated elite documentation. Our group of caring professionals would like to partner with you to show that innovation pays off and that entrepreneurship is attainable to anyone who has the desire to change processes for the better. 
 
A typical project line of communication in our industry is unstructured, which results in lost lines of communication, disorganization, confusion, stress, and poor decisions. Therefore, there are often project delays, over budget issues, rescheduling, change orders, rushed choices, cutting corners, poor quality, bad moral, and loss of staff for all parties. We operate with a single point of contact conversation flow which results in superior level service.  
Our system has developed over years of on-the-job experience for the most complete and maximum efficient tactics. We have also added the element of Project and Construction Manager. These keys roles have successfully revolutionized project functions. The ?one-point? contact structure delivers consistent peer level focus. As progress moves up the chain to completion, everyone remains in tune and balanced with their counterparts.  Using this method, the project will achieve smooth communication and focus. It allows the attention required to deliver the highest quality product by redirecting workflow through the appropriate agents. 


We strive for successful relationships with our clients and every community in which we work. We truly value partnerships with our employees, customers, and neighbors. We work diligently to understand, meet and exceed our clients. We will match enthusiasm to conduct work, on and outside the project. Integrity teaches us this and as a never-ending pupil of its subject we want exceed expectations by living the example, to all, always. We are interested in being fully informed on Companies community goals such as using local companies as resources, employing state locals, and purchasing goods to improve small business economy. This excites us and our members, to be involved with positive impacts and influencing other to do the same. Your choices will be issued as our company compliances. We would love the opportunity to have a positive impact on the community as part of your Team. Our goals are to work with local tribes, donate to local enforcement, donate to local children?s needs. We would not be Dark Horse International without investing in these opportunities. 

We select our team members with careful consideration of their unique skills and expertise. We consider those that we hire to be the best of the best in our industry. With consideration for our client?s needs in mind, we also make it a top priority to consider people who have exceptional morals, values, and work ethic. Only highly qualified, experienced and trained members can qualify in leadership roles; inspector leads, Chief and Chief assistant QAQC Manager. 

Our firm hires employees who have many years of experience in what they are doing. We train employees upon entry to our firm on our processes and our specific style. We rely on innovative training tools to bring our experienced team members up to speed on our efficient strategies. We also train our team members on business dealings, soft skills, and innovations in the industry. 
We have a Challenging 3 Tier System is place, ask us for our Tier qualifications document for 
full details of criteria. Tier 1 inspectors? pair with Tier 2 and are reviewed and tested by 
leadership and their peers and trainers at a minimum of 1 year Tier 1 status. Within the 1st year 
they must also meet our character standards and have a clean or acceptable safety record to move 
on to Tier 2. Tier 2 meets the same criteria as Tier 1 with much more training, verified passing of 
certifications for their respected position, hands on testing by Leadership, 3 signatures of 
approval by peers for Quality of Character and Performance, and meeting experience, character, 
and safety criteria after their minimum 2-year term at Tier 2. Tier 3 criteria resemble Tier 2 with 
a continued and further difficult level of criteria. It also includes signatures from leadership and 
interviews from the CEO and COO to prove all expectations, qualifications and criteria have 
been met.
Not only does our employees knowledge and pay advance as they advance through the Tier 
system, it also unites one another in Teamwork and offers opportunities to grow and advance 
while being rewarded for their character and work ethic. 

We provide training and funding for our employees  
We hire skilled team members who have experience in our work, therefore, can focus on training and mentorship that expands beyond ordinary aspects of training and mentorship. Our team focuses on mentoring employees in the most innovative practices in the industry to date. We provide training through company classes, provided materials, hands-on learning, and more. Additionally, we regularly study our Industry developments and relay all pertinent information to our team. We also focus on business mentorship opportunities. We pay for our employees to study materials, outside classes, and tests for certifications. 
 
Diversity Equity and Inclusion 
 
Dark Horse International is an innovative business that is committed to diverse hiring. We understand that with diversity comes unique perspectives that allow us to serve our clients to the highest level. We understand and applaud your company for addressing the need for diversity, equity, and inclusion. As an innovative, forward-thinking, and inclusive company, we aim to improve and support the careers of minority professionals in the Oil and Gas industry. Our hiring practices are based upon who is most qualified and experienced for our Company but available at Tier 1 training at no previous experience for Indigenous American and Prior Military Service. 
We also seek Client proposals on employees rather it be offering tribal opportunities of employment or the use of local subcontractors.  We aim to highlight contributions made by women and people of races that have been historically marginalized for many years. Founder, Brandon Gould, is American Indian and understands the importance of this
",13646
Data Analytics Technology Advantage,"Big data analysis services and training in Microsoft Power BI and Power Platform
Custom Web Applications and Software Development and Software and as a Service - Supplier Ideation Portals, Supplier Diversity Registration Portals",4426
"DATA CONSULTING GROUP, INC.","CONTRACT PROGRAMMING, SYSTEMS INTEGRATION, NETWORK DESIGN, INSTALLATION, COMPUTER CONSULTING",3893
"DataFactZ, LLC","DataFactZ is a Michigan-based boutique firm specializing in BI, DW, Data Governance, Big Data & Advanced Analytics. ",13561
"Datamaxis, Inc","INFORMATION TECHNOLOGY SERVICES, STAFFING, DEVELOPMENT",13403
"Daughtery Group, Inc","Miscellaneous and structural steel, fabrication and erection, construction",14206
"DAVID P. SMITH AND ASSOCIATES, INC.",LAND SURVEYOR PROVIDES SURVEYS OF PROPERTY AND LOMAS TO CLIENTS ,13771
Dawson Manufacturing Company,"Injection molded rubber, mold bonded to metal.",3815
"DBX SYSTEMS, LLC.","Offering a full line of industrial supplies with an emphasis on cutting tools including but not limited to:
Broaches, Carbide & Carbide Tipped Drills,  Milling Cutters, Carbide & Carbide Tipped End Mills, Reamers, Center Drills, Roughing End Mills, Die Heads & Chasers,; ; ; ;  ; ; Shank Type Cutters, Drill & Reamer Blanks,Tap Extractors, Drill Indexes & Dispensers, Tapered End Mills, Drill Sets, Tapping Tools & Taps Accessories , Abrasives, Measuring Tools,Hand Tools, Power Tools Plant and Safety, Material Handling and Workholding",4021
DC Graphics Inc.,"Marketing & Promotional services, products and printing",14210
"DC HYDRAULICS, INC.","HYDRAULIC, PNEUMATIC CYLINDERS, PUMPS, SYSTEMS, ACCESSORIES, VALVES, HOSES, FITTINGS, TEMPERATURE GAUGES, PRESSURE SWITCHES",13782
"DCR Services & Construction, Inc.","DCR Services & Construction, LLC Company, (?DCR?) headquartered in Detroit Michigan, and an office in Raleigh NC, is a Self-Performing Minority Contractor. Services include Construction Management, Environmental Consulting, Safety Confined Space, and Fire Watch Management, Mechanical Insulation, and Facilities Management Services. DCR is a general service contractor and maintains the qualifications and certifications as a registered supplier of services under the federal governments SBA ?8A? and HUBZone certification requirements.",13745
"DeCaires & Associates, LLC.",Corporate private investigations and pre-employment background screening.  Automotive part assembly fabrication and assembly.,14238
"DECHEN CONSULTING GROUP,  INC.","Business Process and Information Technology Consulting & Delivery Services, Data Analytics & Business Intelligent Solutions, Systems Integration, ERP Application Implementation & Launch Services.  Expertise in Finance & Accounting Systems, Tax & Treasury Systems, Supply Chain & Logistics, Procurement Systems, End-to-end HR Processes and Systems, Governance, Risk & Compliance, Higher Education Systems, IT Staff Augmentation, Offshore Business & Back-office solutions. ",4004
Decima LLC,"Electrical services contractor, automation control, instrumentation services.",13416
DEE DAVIS INC.,"DEE DAVIS INC. , the professionals? professional.  
We specialized in multiple stages of the real estate transaction, from consultation, to the close. We strive to help our clients identify their business and financial need, and provide the services that will help them achieve their financial goals. 
Our job is to effectively conduct a closing, explain provisions and procedures, answer questions, check documents for completeness and accuracy , obtain signatures, notarize documents, and collect and disburse closing funds.
We are committed to providing the most efficient and expeditious services, while always maintaining the highest ethical standards.
Licensed, Bonded, Insured E&O:$1,000,000
",14101
Deeply Rooted Enterprises LLC,"Deeply Rooted Produce is a zero-waste mobile grocery store that grows and sources local produce to distribute it to Detroit residents, pantries, small scale grocery & wellness stores. We are farmers of fruits, vegetables, and herbs and we are grocery distributors of those fruits, vegetables, and herbs. ",13625
"DEL RAY SECURITY CONSULTANTS, INC.",SECURITY GUARD AGENCY,4016
"DeL Rio Solutions, LLC","Del Rio Solutions, LLC., is a quality control; and product assurance service.  We work with OEMs and tiered suppliers in coming quality inspections.  Drop sorts, production validation, and testing.",13729
"Delaco AMTB, LLC",Manufacture/ Production of welded taylored blankes for the automotive industry,3738
"Delaco-Kasle, LLC",Blanking Aluminum and Steel Exposed and Unexposed Parts.,3677
"Delaco-Kenwal Steel, LLC","Steel sales, processing and stamping assemblies",3654
"DeMar Promotional Marketing Group, LLC","DeMar Promotional Marketing Group?s goal is to exceed your expectations by using our innovative approach to providing promotional products, graphics design, printing, and trade show consulting that will meet your business objectives and generate growth. Capture the attention and impress your clients with powerful graphics, marketing materials, unique promotional products and specialty items that have been imprinted with your company logo. We leverage our many years of experience in the industry so that we can find you the best combination of quick turnaround time and competitive pricing. Our system tracks your order from launch to delivery to complete your job successfully..Our mission is to help you create long-lasting relationships with your clients through the power of promotional products.",4396
"Departure Travel Management, LLC.",TRAVEL AGENCY AND BUSINESS TRAVEL MANAGER,4245
"DES Electric, LLC","Full Service Electrical Contractor, In-House Engineering/Design Build, In-house Wholesale Supplier, ",14056
Design Source Media,"We help businesses with their Web and IT work. 
Web: Website Design and Development, Online Marketing
IT: Network and Security, Infrastructure, Managed IT Services, Backup Disaster Recovery ",13973
"Designer Installation Services, Inc.","Designer Installation Services, Inc. provides receiving, inspection, storage, delivery, and installation services of commercial office furniture.",13770
"Detroit Chassis, LLC","Assembles Ford F53 Class A Motor Home chassis for Ford Motor Company
F59 Commercial Truck chassis, Ford Mustang SVT corner modules, Tires & Wheels and Axles for Heavy Duty Trucks, Niche vehicles and sub-assemblies",4230
"Detroit Connected Autonomous Technologies, LLC",Detroit Connected Autonomous Technologies (DCAP) will provide engagement and training in Connected Autonomous Technologies. Focusing on youth development.,13446
"DETROIT CONSTRUCTION SERVICES GROUP, INC.","Residential Remodeller - Additions, Alterations and Renovations of Residentiial and Commercial Structures.",13885
"Detroit Engineered Products, Inc.","DEP is a global Engineering Services and product (hardware & software products) development company servicing the Automotive industry and other industry verticals such as Aerospace, Heavy Equipment, Bio-medical etc. DEP's advanced Computer Aided Engineering (CAE) based services result in optimized designs for its customers producing weight minimized products meeting all design targets and minimizing development time. DEP's MeshWorks software product morphs existing CAD/CAE models to new requirements dramatically reducing the time required to build new designs. It also parameterizes CAE models enabling Multi-disciplinary Optimization. DEP's In-cylinder Combustion Sensor product predicts key combustion and emissions parameters thereby optimizing the internal combustion engine for fuel economy, emissions and performance benefits.",4293
"Detroit Manufacturing Systems, LLC.","Manufacturing, assembly of interior components and subsystems for the automotive industry, cockpits, center consoles, seats; specializing in small, large cars, crossovers and pickup trucks.",4142
"Detroit Polymers, LLC",Automotive/Non-Automotive Plastic Resin Sales and Consulting Representative. Injection Molding Plastic Resins Consultant. Recycled Post Industrial and Post Consumer Resin Sales Representative. Plastic Scrap/Regrind (painted/unpainted) Feedstream Recovery Wholesale/Distributor and Trades. General Purpose and Engineered Recycled Resin Sales & Consulting Services.  ,10034
"Detroit Premiere Artists, Inc.","We produce, organize, promote dance music and entertainment for events around the world.",13533
"Detroit Property Improvement & Investment, LLC","General contractors, plumbing and mechanical, flooring, contracting",13744
Detroit Renaissance Manufacturing LLC,"With technical preparation that include premier universities such as MIT and Stanford, we provide highly analytical consulting services to support customers in the following three areas. 
a); Electronics Assembly SMT- We apply our core strength of analytics to these high-speed manufacturing environments and rapidly deconstruct complex problems into singular phenomena. Our deep process knowledge allows us to align Operators, Materials, and Equipment flawlessly. These actions yield higher throughput, improved quality, and a competent workforce. 
b); Semi-automated assembly- Labor-intensive operations require constant supervision to ensure labor expense, quality, and productivity are adequate. This is in large part because traditionally, we are used to managing labor. Conversely, we push to implement labor content management. We help you build this new approach from the ground up. As a result, productivity sky-rockets, quality is flawless, and your workforce is motivated. 
c); Critical Supply Chain- The current Supply Chain environment yields a less than desired delivery and production uptime. It is impossible to manage these supply chains with longstanding and traditional tools. Our team can be at the center of this chaotic environment and help you ensure minimum downtime. We can support incoming and outbound expedited logistics and ensure material availability. On the shop floor hour by hour, follow-up is critical, and extended equipment failure is not acceptable. We will ensure there is flawless execution on the shop floor.  
",14124
"Detroit Voltage, LLC","Detroit Voltage is an electrical contracting firm based in Detroit, Michigan. We are committed to providing safe, high-quality, and efficient electrical services to the underserved communities in the City of Detroit. Our company is also dedicated to supporting renewable energy projects and electric vehicle infrastructure to help reduce the carbon footprint. We are proud to be part of a group of partners who are leading the charge in promoting sustainability and environmental responsibility in our community.
",13420
DeVine Relief LLC,Gourmet and medicinal herb and mushroom production and processing.,13500
"Devon Contracting, Inc.",GENERAL CONSTRUCTION MANAGEMENT,4225
DewSource,Full service utility contracting.,13313
DIENAMIC TOOL CORP.,"MANUFACTURER OF TOOLS, DIES, JIGS, FIXTURES",4001
"Digerati Systems, Inc","Digerati is specialized in computer software development, mainly in ERP products like peoplesoft, SAP, web designing and development like JAVA etc. and database realated software.",13672
"Digital Detroit Media, Incorporated","Digital Detroit Media (DDM), is an ad agency specializing in authentically impacting the culture. We specialize in authentic storytelling that includes campaign development, video production, graphic design, and photography skills. ",13427
Digital Logic LLC,"Digital Logic LLC holds expertise in cloud migration services, cloud solution services, Salesforce API integration, and much more.  We work with government and corporate organizations like CVS Health, McKesson, Collabera, Cambra, IDR, Themesoft, adroitts, Healthcare Services Corp, and IBM.",14255
Digital Office Solutions,"Digital Office Solutions is an Authorized Muratec Dealer, a Division of Konica Minolta Copiers. We Sale and lease Copiers , Printers, Faxes, to local business in the metropolitan area.",14031
Digital Technology Innovations Group LLC,"We provide efficient IT Workforce Solutions. Whether its application development, application enhancement data management, UI/UX or project management, we have client centric focus when providing support to our Customers in their Digital Transformation journey.",14247
DigitalSoft LLC,DigitalSoft LLC provides Staffing and Consulting services in the field of Information Technology.  ,12047
Direct DME,Purchase diabetic products from manufacturers and distribute those supplies to patients in their home.  We only distribute these products to patients after their physician has prescribed these products.   ,13614
"Direct Electronics Plus, Inc","Computer and computer peripheral equipment and software merchant wholesalers, computer systems design services.",4136
Dirt Detectives LLC,"We are a cleaning and janitorial  services provider for commercial and residential customers, small, medium, and large.

",14028
"District By Design, LLC","District By Design, LLC is a commercial office furniture dealer & distributor. ",13527
"Distro Systems, LLC","Distro Systems provides Consultants and Professional services for Technical Recruitment, Technical Staffing and Talent Management services and solutions.

",4527
Distrolink LLC,Distrolink LLC. is a company that facilitates a shipper who has goods to transport with an authorized motor carrier that wants to provide that service. ,4573
"Diverse Applications, Inc","Diverse Applications is a manufacturer, distributor, and broker of corrugated and wood boxes, crates, and pallets.",14164
Diverse Distribution Partners LLC,"DDP is a broad spectrum Industrial supplier whose management team has nearly 30 years of procurement, product management, and supply chain experience. Highly efficient B2B procurement and marketing expertise will allow its principle members to source, procure, and ship, a diverse product offering to our business customers. ",13648
"Diverse IT, LLC","Diverse IT, LLC. is built on the evidence that the management of information technology for business is like Cyber/Systems Security, Cloud Services, Data Management, Automation, Licensing Inventory, DevOps, SecOps, Helpdesk Support, Staff Augmentation, Programming, Managed Services, Network Support & Maintenance, and other bodies of knowledge, in that it is not inherently a do-it-yourself prospect, nor a project that you have the capacity or resources to successfully/functionally manage. Businesses that aren't technology hobbyists or don?t have complete technology departments need to find quality vendors of reliable hardware, software, service, and support. They need to use these quality vendors as they utilize their other professional service suppliers, as trusted allies. Diverse IT, LLC. is such a vendor. It serves its clients as a trusted ally, providing them with the loyalty of a business partner and the economics of an outside vendor. We make sure that our clients have what they need to run their businesses with maximum efficiency, security, and reliability. Many of our information applications are mission-critical, so we give our clients the assurance that we will be there when they need us. We differ from other companies with our excellent customer service, ability to scale in any environment, and diverse technical offerings. Diverse IT, LLC. is a company that strives daily to become the total information technology package for all businesses, big, medium, and small.",5126
"Diverse Retaining Solutions, LLC",Fastener chemistry and retaining applicator.,13721
DiverseNote Enterprise LLC,"DiverseNote (https://diversenote.app) helps HR and workforce-focused teams increase, scale, and track employee career mobility, success, and DEI within client organizations.",4595
Diversified Ag LLC,My company is a commercial distributor of gardening supplies to commercial growers and gardening supply retailers.  ,13447
"DIVERSIFIED CHEMICAL TECHNOLOGIES, INC.","MANUFACTURER OF INDUSTRIAL CHEMICALS.  MANUFACTURER OF METALWORKING FLUIDS, COOLANTS, AND PART/PROCESS WASHING SOLUTIONS. MANUFACTURER OF INDUSTRIAL CLEANERS AND DEGREASERS.  MANUFACTURER OF CLEANERS, DEGREASERS, AND DISINFECTANTS FOR I&I (INDUSTRIAL AND INSTITUTIONAL) FOCUSED APPLICATIONS/ENVIRONMENTS, FOOD & BEVERAGE PREP AND SERVE ENVIRONMENTS, AND FACILITIES MANAGEMENT APPLICATIONS.  ",10102
"Diversified Engineering Concepts, LLC","Diversified Engineering Concepts, LLC (DEC) is an Engineering Consulting firm based in Detroit, MI. with a primary focus on the areas of Electrical, Mechanical, Instrumentation & Control Engineering, Design and Integration for the Industrial and Utility market space.",4531
"Diversified Engineering Services, Inc.","Sorting, rework, containment, re-engineering staffing & design engineering company; Interior & Exterior Painting",13989
"DIVERSIFIED INSTALLATIONS, INC.",INSTALLATION OF COMMERCIAL FIXTURES,13959
"Diversified Products & Services, LLc.","Provide product services such as wood recycling and purchasing of wood pallets and boxes that are new and used, recycling of plastics, stretch wrap, and plastic & steel banding. The product services is not limited to the above mentioned products, but any",14284
"Diversified Solutions Group, LLC","Program Management, Engineering, Machining, Fabricating, Stamping, Staffing, and Printing.",13886
Diversified Staffing Group LLC,"We are committed to connecting Companies with dependable, dedicated and reliable Employees.",13504
"Diversified Technologies International, LLC","STAMPING DIES, MOLDS AND COMPONENTS",3698
Diversified Wireless/Electrical Services Inc,Diversified Wireless/Electrical Services Inc is a licensed and insured contractor for commercial and residential services.,13460
"Diversitech, Inc.","Material Handling Equipment, Intralogistics Automation, Assembly Automation Machines, Automated Storage & Retrieval Machines, Special Machines, Equipment Installation, Automation Consulting, Engineering Services, and Commercial Contracting Services",13719
Diversity Enterprise Solutions LLC,Professional Services,4246
"Diversity Packaging, LLC","Diversity Packaging is a leading provider of customized packaging products and solutions.  We offer competitive pricing, a wide array of standard and custom-designed expendable and returnable packaging products",3903
"Diversity Reporting Solutions, LLC","Provides prime suppliers with streamlined reporting process whereby Tier 1 and Tier 2 vendors can make available reports to their customers including spend data, goal tracking, data metrics and charts.",13960
"Diversity Resources Associates, LLC","Diversity Resources Associates, LLC provides consulting services to corporations and minority business enterprises in the areas of diversity, quality systems, manpower recruitment and management, and property management.",14178
Diversity Staffing,"Diversity Staffing is a full service temporary staffing agency that focus on temporary employment services, temp to hire after ninety days or a full service third party recruiting agency.",13548
Dixon Construction Services Inc.,"Dixon Construction Services wants to provide General Construction and Construction Management services to owners, providing unique solutions for each project.",13398
DIXON INCORPORATED,"GENERAL CONTRACTORS IN MASONRY, INDUSTRIAL, COMMERCIAL PROJECTS, WEATHERPROOFING",3948
Dixon-Barton Malow,"The Dixon-Barton Malow joint venture provides construction management, design/build and general contracting services throughout Michigan.  The joint venture is a partnership between Dixon Construction Services, who's owner, Elmer Dixon has more than 20 years experience in the commercial construction industry and Barton Malow, founded in 1924, which is one of Michigan's largest builders and employers of trade labor. The intent of the partnership is for a MBE to gain further knowledge in the construction management, design/build and general contracting areas, which will allow Dixon Construction Services to grow.  The partnership is currently contracted on the Henry Ford Health System Macomb and Ford Post projects. Dixon has gained financial capacity and is bondable based on the company's majority managing member, Elmer Dixon's, investment and development of trade contracting firm, Dixon Inc. ",13425
DJ Graffiti LLC,"DJ Graffiti LLC provides entertainment and marketing services. These include live and virtual DJ services, event hosting, visual production and promotion for corporate celebrations and conferences. In addition, we consult and manage companies digital marketing services to help create growth.",13374
"DJAM Capital, LLC","We create custom, paper based, packaging solutions for our 
customers. Our primary focus is using our patented paper packaging components to 
reduce the use of foam and wood in crates, packs, and pallets. Our primary product 
offerings include cases for work surfaces and glass shipment bracing and crating, foam 
in place, and paper pallets.",13457
"DOCUTELL, INC.","Provides Consulting & Software Development Services in E- Commerce, Document and Content Management, Internet Activity and Enterprise Application Integration.",13253
Dolphin Marine Services Inc.,"Dolphin Centrifuge specializes in Fluid Purification Systems especially Industrial Centrifuges, Vacuum Dehydrators, Industrial Fluid Pumping Systems, Filtering and Heating Systems. We also stock and supply Spare Parts for major brand Centrifuge Manufacturers i.e. Alfa Laval (Sweden) & Westfalia (Germany). ",14018
